timestamp,cpu_usage
01-04-2014 00:00,21.59801104
01-04-2014 00:05,19.32139205
01-04-2014 00:10,21.39993814
01-04-2014 00:15,18.37391568
01-04-2014 00:20,18.1674988
01-04-2014 00:25,20.01618073
01-04-2014 00:30,18.23864889
01-04-2014 00:35,19.5699592
01-04-2014 00:40,21.58711247
01-04-2014 00:45,18.96593214
01-04-2014 00:50,20.8239031
01-04-2014 00:55,19.20946157
01-04-2014 01:00,18.17968022
01-04-2014 01:05,20.22676233
01-04-2014 01:10,21.33941396
01-04-2014 01:15,19.63787379
01-04-2014 01:20,20.46917531
01-04-2014 01:25,21.60009439
01-04-2014 01:30,21.15877805
01-04-2014 01:35,18.7755056
01-04-2014 01:40,20.93353584
01-04-2014 01:45,20.0075721
01-04-2014 01:50,20.98386723
01-04-2014 01:55,19.9780622
01-04-2014 02:00,18.51183266
01-04-2014 02:05,20.27963779
01-04-2014 02:10,19.96853597
01-04-2014 02:15,20.07168693
01-04-2014 02:20,21.51560981
01-04-2014 02:25,21.57934819
01-04-2014 02:30,19.81414843
01-04-2014 02:35,19.82292817
01-04-2014 02:40,20.06074784
01-04-2014 02:45,20.07835711
01-04-2014 02:50,21.80154858
01-04-2014 02:55,20.59760187
01-04-2014 03:00,19.10982798
01-04-2014 03:05,20.12614719
01-04-2014 03:10,20.50889433
01-04-2014 03:15,20.55908688
01-04-2014 03:20,20.34101691
01-04-2014 03:25,18.71094462
01-04-2014 03:30,18.13437276
01-04-2014 03:35,19.35137221
01-04-2014 03:40,19.71008862
01-04-2014 03:45,18.24721696
01-04-2014 03:50,21.25986935
01-04-2014 03:55,19.37630975
01-04-2014 04:00,21.65453098
01-04-2014 04:05,18.61764043
01-04-2014 04:10,18.22773983
01-04-2014 04:15,19.92926442
01-04-2014 04:20,18.75651735
01-04-2014 04:25,21.7495971
01-04-2014 04:30,18.04121359
01-04-2014 04:35,19.6504787
01-04-2014 04:40,21.70699109
01-04-2014 04:45,19.53767283
